time,target,actual,control,p_term,i_term,source_label
0.00000000,0,0,0,0,0,闭环仿真数据，非实测
0.02000000,0,0,0,0,0,闭环仿真数据，非实测
0.04000000,0,0,0,0,0,闭环仿真数据，非实测
0.06000000,0,0,0,0,0,闭环仿真数据，非实测
0.08000000,0,0,0,0,0,闭环仿真数据，非实测
0.10000000,0,0,0,0,0,闭环仿真数据，非实测
0.12000000,0,0,0,0,0,闭环仿真数据，非实测
0.14000000,0,0,0,0,0,闭环仿真数据，非实测
0.16000000,0,0,0,0,0,闭环仿真数据，非实测
0.18000000,0,0,0,0,0,闭环仿真数据，非实测
0.20000000,0,0,0,0,0,闭环仿真数据，非实测
0.22000000,0,0,0,0,0,闭环仿真数据，非实测
0.24000000,0,0,0,0,0,闭环仿真数据，非实测
0.26000000,0,0,0,0,0,闭环仿真数据，非实测
0.28000000,0,0,0,0,0,闭环仿真数据，非实测
0.30000000,0,0,0,0,0,闭环仿真数据，非实测
0.32000000,0,0,0,0,0,闭环仿真数据，非实测
0.34000000,0,0,0,0,0,闭环仿真数据，非实测
0.36000000,0,0,0,0,0,闭环仿真数据，非实测
0.38000000,0,0,0,0,0,闭环仿真数据，非实测
0.40000000,0,0,0,0,0,闭环仿真数据，非实测
0.42000000,0,0,0,0,0,闭环仿真数据，非实测
0.44000000,0,0,0,0,0,闭环仿真数据，非实测
0.46000000,0,0,0,0,0,闭环仿真数据，非实测
0.48000000,0,0,0,0,0,闭环仿真数据，非实测
0.50000000,0,0,0,0,0,闭环仿真数据，非实测
0.52000000,0,0,0,0,0,闭环仿真数据，非实测
0.54000000,0,0,0,0,0,闭环仿真数据，非实测
0.56000000,0,0,0,0,0,闭环仿真数据，非实测
0.58000000,0,0,0,0,0,闭环仿真数据，非实测
0.60000000,0,0,0,0,0,闭环仿真数据，非实测
0.62000000,0,0,0,0,0,闭环仿真数据，非实测
0.64000000,0,0,0,0,0,闭环仿真数据，非实测
0.66000000,0,0,0,0,0,闭环仿真数据，非实测
0.68000000,0,0,0,0,0,闭环仿真数据，非实测
0.70000000,0,0,0,0,0,闭环仿真数据，非实测
0.72000000,0,0,0,0,0,闭环仿真数据，非实测
0.74000000,0,0,0,0,0,闭环仿真数据，非实测
0.76000000,0,0,0,0,0,闭环仿真数据，非实测
0.78000000,0,0,0,0,0,闭环仿真数据，非实测
0.80000000,0,0,0,0,0,闭环仿真数据，非实测
0.82000000,0,0,0,0,0,闭环仿真数据，非实测
0.84000000,0,0,0,0,0,闭环仿真数据，非实测
0.86000000,0,0,0,0,0,闭环仿真数据，非实测
0.88000000,0,0,0,0,0,闭环仿真数据，非实测
0.90000000,0,0,0,0,0,闭环仿真数据，非实测
0.92000000,0,0,0,0,0,闭环仿真数据，非实测
0.94000000,0,0,0,0,0,闭环仿真数据，非实测
0.96000000,0,0,0,0,0,闭环仿真数据，非实测
0.98000000,0,0,0,0,0,闭环仿真数据，非实测
1.00000000,1,0,0.60799999999999998,0.59999999999999998,0.0080000000000000002,闭环仿真数据，非实测
1.02000000,1,0.012039206629492805,0.60868016236926836,0.59277647602230432,0.015903686346964058,闭环仿真数据，非实测
1.04000000,1,0.023853489112665882,0.60940076496646323,0.58568790653240044,0.023712858434062734,闭环仿真数据，非实测
1.06000000,1,0.035448102016186422,0.61016041240822139,0.57873113879028815,0.03142927361793324,闭环仿真数据，非实测
1.08000000,1,0.046828168228888592,0.61095774733476893,0.57190309906266679,0.03905464827210213,闭环仿真数据，非实测
1.10000000,1,0.057998682322086784,0.6117914494202733,0.56520079060674788,0.046590658813525435,闭环仿真数据，非实测
1.12000000,1,0.068964513823753973,0.612660234408683,0.55862129170574759,0.054038942702935404,闭环仿真数据，非实测
1.14000000,1,0.079730410408775265,0.61356285317440007,0.55216175375473486,0.061401099419665199,闭环仿真数据，非实测
1.16000000,1,0.090301001007430284,0.61449809080714757,0.5458193993955418,0.068678691411605763,闭环仿真数据，非实测
1.18000000,1,0.10068079883420264,0.61546476572041053,0.53959152069947836,0.075873245020932137,闭环仿真数据，非实测
1.20000000,1,0.11087420433896092,0.616461728782844,0.53347547739662349,0.082986251386220455,闭环仿真数据，非实测
1.22000000,1,0.12088550808250312,0.61748786247205856,0.5274686951504981,0.090019167321560428,闭环仿真数据，非实测
1.24000000,1,0.13071889353840521,0.61854208005021005,0.52156866387695688,0.096973416173253182,闭环仿真数据，非实测
1.26000000,1,0.14037843982306511,0.6196233247608296,0.51577293610616093,0.10385038865466867,闭环仿真数据，非实测
1.28000000,1,0.14986812435578425,0.62073056904635182,0.51007912538652944,0.11065144365982239,闭环仿真数据，非实测
1.30000000,1,0.15919182545068206,0.62186281378580766,0.50448490472959073,0.11737790905621694,闭环仿真数据，非实测
1.32000000,1,0.16835332484219229,0.62301908755216406,0.49898800509468466,0.1240310824574794,闭环仿真数据，非实测
1.34000000,1,0.17735631014584574,0.62419844588880513,0.49358621391249252,0.13061223197631264,闭环仿真数据，非实测
1.36000000,1,0.18620437725599928,0.62539997060466512,0.48827737364640045,0.13712259695826465,闭环仿真数据，非实测
1.38000000,1,0.19490103268212969,0.62662276908752979,0.48305938039072216,0.1435633886968076,闭环仿真数据，非实测
1.40000000,1,0.20344969582526792,0.62786597363504471,0.47793018250483921,0.14993579113020544,闭环仿真数据，非实测
1.42000000,1,0.21185370119611022,0.62912874080297043,0.47288777928233383,0.15624096152063657,闭环仿真数据，非实测
1.44000000,1,0.2201163005763023,0.63041025077024471,0.4679302196542186,0.16248003111602616,闭环仿真数据，非实测
1.46000000,1,0.22824066512435445,0.6317097067204186,0.46305560092538728,0.16865410579503132,闭环仿真数据，非实测
1.48000000,1,0.23622988742760848,0.63302633423904531,0.45826206754343485,0.17476426669561046,闭环仿真数据，非实测
1.50000000,1,0.24408698350164043,0.63435938072661313,0.45354780989901577,0.18081157082759733,闭环仿真数据，非实测
1.52000000,1,0.25181489473844787,0.63570811482662104,0.44891106315693124,0.18679705166968974,闭环仿真数据，非实测
1.54000000,1,0.25941648980473547,0.63707182586841049,0.44435010611715869,0.19272171975125185,闭环仿真数据，非实测
1.56000000,1,0.26689456649157939,0.63844982332437161,0.43986326010505233,0.19858656321931922,闭环仿真数据，非实测
1.58000000,1,0.27425185351671794,0.63984143628115464,0.43544888788996922,0.20439254839118548,闭环仿真数据，非实测
1.60000000,1,0.28149101228068363,0.64124601292452987,0.43110539263158981,0.21014062029294001,闭环仿真数据，非实测
1.62000000,1,0.28861463857796088,0.64266292003753978,0.42683121685322345,0.21583170318431633,闭环仿真数据，非实测
1.64000000,1,0.29562526426432389,0.64409154251160738,0.42262484144140566,0.22146670107020172,闭环仿真数据，非实测
1.66000000,1,0.30252535888147752,0.64553128287026329,0.41848478467111344,0.2270464981991499,闭环仿真数据，非实测
1.68000000,1,0.30931733124009775,0.64698156080517044,0.41440960125594134,0.23257195954922913,闭环仿真数据，非实测
1.70000000,1,0.31600353096233852,0.64844181272412726,0.41039788142259687,0.23804393130153043,闭环仿真数据，非实测
1.72000000,1,0.32258624998484464,0.64991149131074488,0.40644825000909318,0.24346324130165167,闭环仿真数据，非实测
1.74000000,1,0.32906772402328399,0.65139006509549502,0.40255936558602962,0.2488306995094654,闭环仿真数据，非实测
1.76000000,1,0.33545013399938634,0.65287701803783849,0.39872991960036824,0.2541470984374703,闭环仿真数据，非实测
1.78000000,1,0.34173560743145043,0.65437184911914847,0.39495863554112975,0.25941321357801872,闭环仿真数据，非实测
1.80000000,1,0.34792621978925675,0.65587407194615066,0.39124426812644592,0.26462980381970469,闭环仿真数据，非实测
1.82000000,1,0.35402399581429844,0.65738321436461122,0.38758560251142093,0.26979761185319029,闭环仿真数据，非实测
1.84000000,1,0.36003091080622063,0.65889881808300821,0.38398145351626761,0.27491736456674054,闭环仿真数据，非实测
1.86000000,1,0.36594889187633467,0.660420438305929,0.38043066487419913,0.27998977343172987,闭环仿真数据，非实测
1.88000000,1,0.37177981916905206,0.66194764337694623,0.37693210849856879,0.28501553487837744,闭环仿真数据，非实测
1.90000000,1,0.37752552705206061,0.66348001443072468,0.37348468376876365,0.28999533066196098,闭环仿真数据，非实测
1.92000000,1,0.38318780527604485,0.66501714505412568,0.37008731683437307,0.29492982821975261,闭环仿真数据，非实测
1.94000000,1,0.38876840010473207,0.66655864095607553,0.36673895993716077,0.29981968101891476,闭环仿真数据，非实测
1.96000000,1,0.39426901541602472,0.66810411964597183,0.3634385907503852,0.30466552889558657,闭环仿真数据，非实测
1.98000000,1,0.39969131377496064,0.66965321012041046,0.36018521173502355,0.30946799838538686,闭环仿真数据，非实测
2.00000000,1,0.40503691747922477,0.67120555255801817,0.35697784951246514,0.31422770304555303,闭环仿真数据，非实测
2.02000000,1,0.41030740957791495,0.67276079802218081,0.35381555425325106,0.31894524376892969,闭环仿真数据，非实测
2.04000000,1,0.41550433486424893,0.67431860817146627,0.35069739908145064,0.32362120909001568,闭环仿真数据，非实测
2.06000000,1,0.42062920084287986,0.67587865497754473,0.34762247949427211,0.32825617548327263,闭环仿真数据，非实测
2.08000000,1,0.42568347867247275,0.67744062045040909,0.3445899127965163,0.33285070765389285,闭环仿真数据，非实测
2.10000000,1,0.43066860408417518,0.6790041963707143,0.34159883754949488,0.33740535882121947,闭环仿真数据，非实测
