time,target,actual,control,p_term,i_term,source_label
0.00000000,0,0,0,0,0,闭环仿真数据，非实测
0.02000000,0,0,0,0,0,闭环仿真数据，非实测
0.04000000,0,0,0,0,0,闭环仿真数据，非实测
0.06000000,0,0,0,0,0,闭环仿真数据，非实测
0.08000000,0,0,0,0,0,闭环仿真数据，非实测
0.10000000,0,0,0,0,0,闭环仿真数据，非实测
0.12000000,0,0,0,0,0,闭环仿真数据，非实测
0.14000000,0,0,0,0,0,闭环仿真数据，非实测
0.16000000,0,0,0,0,0,闭环仿真数据，非实测
0.18000000,0,0,0,0,0,闭环仿真数据，非实测
0.20000000,0,0,0,0,0,闭环仿真数据，非实测
0.22000000,0,0,0,0,0,闭环仿真数据，非实测
0.24000000,0,0,0,0,0,闭环仿真数据，非实测
0.26000000,0,0,0,0,0,闭环仿真数据，非实测
0.28000000,0,0,0,0,0,闭环仿真数据，非实测
0.30000000,0,0,0,0,0,闭环仿真数据，非实测
0.32000000,0,0,0,0,0,闭环仿真数据，非实测
0.34000000,0,0,0,0,0,闭环仿真数据，非实测
0.36000000,0,0,0,0,0,闭环仿真数据，非实测
0.38000000,0,0,0,0,0,闭环仿真数据，非实测
0.40000000,0,0,0,0,0,闭环仿真数据，非实测
0.42000000,0,0,0,0,0,闭环仿真数据，非实测
0.44000000,0,0,0,0,0,闭环仿真数据，非实测
0.46000000,0,0,0,0,0,闭环仿真数据，非实测
0.48000000,0,0,0,0,0,闭环仿真数据，非实测
0.50000000,0,0,0,0,0,闭环仿真数据，非实测
0.52000000,0,0,0,0,0,闭环仿真数据，非实测
0.54000000,0,0,0,0,0,闭环仿真数据，非实测
0.56000000,0,0,0,0,0,闭环仿真数据，非实测
0.58000000,0,0,0,0,0,闭环仿真数据，非实测
0.60000000,0,0,0,0,0,闭环仿真数据，非实测
0.62000000,0,0,0,0,0,闭环仿真数据，非实测
0.64000000,0,0,0,0,0,闭环仿真数据，非实测
0.66000000,0,0,0,0,0,闭环仿真数据，非实测
0.68000000,0,0,0,0,0,闭环仿真数据，非实测
0.70000000,0,0,0,0,0,闭环仿真数据，非实测
0.72000000,0,0,0,0,0,闭环仿真数据，非实测
0.74000000,0,0,0,0,0,闭环仿真数据，非实测
0.76000000,0,0,0,0,0,闭环仿真数据，非实测
0.78000000,0,0,0,0,0,闭环仿真数据，非实测
0.80000000,0,0,0,0,0,闭环仿真数据，非实测
0.82000000,0,0,0,0,0,闭环仿真数据，非实测
0.84000000,0,0,0,0,0,闭环仿真数据，非实测
0.86000000,0,0,0,0,0,闭环仿真数据，非实测
0.88000000,0,0,0,0,0,闭环仿真数据，非实测
0.90000000,0,0,0,0,0,闭环仿真数据，非实测
0.92000000,0,0,0,0,0,闭环仿真数据，非实测
0.94000000,0,0,0,0,0,闭环仿真数据，非实测
0.96000000,0,0,0,0,0,闭环仿真数据，非实测
0.98000000,0,0,0,0,0,闭环仿真数据，非实测
1.00000000,1,0,2.04,2,0.040000000000000001,闭环仿真数据，非实测
1.02000000,1,0.040394706454219283,1.9975947988333926,1.9192105870915614,0.078384211741831231,闭环仿真数据，非实测
1.04000000,1,0.079149864887468085,1.9569184873713963,1.8417002702250638,0.11521821714633251,闭环仿真数据，非实测
1.06000000,1,0.11633217483559652,1.9179005804817155,1.7673356503288069,0.15056493015290864,闭环仿真数据，非实测
1.08000000,1,0.15200561939602342,1.8804734665850209,1.6959887612079532,0.18448470537706771,闭环仿真数据，非实测
1.10000000,1,0.18623157591698219,1.8445722905064241,1.6275368481660357,0.21703544234038841,闭环仿真数据，非实测
1.12000000,1,0.21906892217527668,1.810134841102824,1.5618621556494467,0.24827268545337733,闭环仿真数据，非实测
1.14000000,1,0.25057413822644869,1.7771014434714221,1.4988517235471026,0.27824971992431941,闭环仿真数据，非实测
1.16000000,1,0.28080140410376297,1.745414855552643,1.4383971917924741,0.30701766376016887,闭环仿真数据，非实测
1.18000000,1,0.30980269353522299,1.715020168948314,1.3803946129295541,0.33462555601875993,闭环仿真数据，非实测
1.20000000,1,0.33762786384093424,1.6858647137832541,1.3247442723181315,0.36112044146512257,闭环仿真数据，非实测
1.22000000,1,0.36432474216651328,1.6578979674454355,1.2713505156669735,0.38654745177846206,闭环仿真数据，非实测
1.24000000,1,0.38993920820189554,1.6310714670465951,1.2201215835962089,0.41094988345038624,闭环仿真数据，非实测
1.26000000,1,0.41451527352880424,1.6053387254516256,1.1709694529423915,0.43436927250923407,闭环仿真数据，非实测
1.28000000,1,0.43809515773430546,1.5806551507312507,1.123809684531389,0.45684546619986183,闭环仿真数据，非实测
1.30000000,1,0.46071936142226944,1.5569779688984322,1.0785612771554611,0.47841669174297108,闭环仿真数据，非实测
1.32000000,1,0.48242673624918647,1.5342661497946306,1.0351465275016269,0.49911962229300361,闭环仿真数据，非实测
1.34000000,1,0.50325455210563075,1.512480335997517,0.9934908957887385,0.51898944020877835,闭环仿真数据，非实测
1.36000000,1,0.52323856155972004,1.4915827746269494,0.95352287688055992,0.53805989774638951,闭环仿真数据，非实测
1.38000000,1,0.54241306167417724,1.4715372519310681,0.91517387665164551,0.55636337527942248,闭环仿真数据，非实测
1.40000000,1,0.5608109533040504,1.4523090305391597,0.87837809339189921,0.57393093714726051,闭环仿真数据，非实测
1.42000000,1,0.57846379797778236,1.4338647892725844,0.84307240404443529,0.59079238522814925,闭环仿真数据，非实测
1.44000000,1,0.59540187246013621,1.4161725654094712,0.80919625507972759,0.60697631032974375,闭环仿真数据，非实测
1.46000000,1,0.61165422109146683,1.3992016993031515,0.77669155781706634,0.62251014148608508,闭环仿真数据，非实测
1.48000000,1,0.62724870599397742,1.3829227812583711,0.74550258801204516,0.63742019324632593,闭环仿真数据，非实测
1.50000000,1,0.64221205523190328,1.3673076005732432,0.71557588953619344,0.65173171103704974,闭环仿真数据，非实测
1.52000000,1,0.65656990900902368,1.3523290966586414,0.68686018198195264,0.66546891467668878,闭环仿真数据，非实测
1.54000000,1,0.6703468639835003,1.3379613121503482,0.65930627203299941,0.67865504011734878,闭环仿真数据，非实测
1.56000000,1,0.6835665157767824,1.3241793479327126,0.6328669684464352,0.69131237948627744,闭环仿真数据，非实测
1.58000000,1,0.69625149975018674,1.3109593199958964,0.60749700049962652,0.70346231949626992,闭环仿真数据，非实测
1.60000000,1,0.70842353011976433,1.2982783180519508,0.58315293976047133,0.71512537829147937,闭环仿真数据，非实测
1.62000000,1,0.72010343747718419,1.2861143658380236,0.55979312504563161,0.72632124079239202,闭环仿真数据，非实测
1.64000000,1,0.73131120478160394,1.27444638303792,0.53737759043679212,0.7370687926011279,闭环仿真数据，非实测
1.66000000,1,0.74206600188485095,1.2632541487560318,0.51586799623029811,0.74738615252573382,闭环仿真数据，非实测
1.68000000,1,0.75238621864969413,1.2525182664803578,0.49522756270061175,0.75729070377974605,闭环仿真数据，非实测
1.70000000,1,0.76228949671855062,1.2422201304739029,0.47542100656289876,0.76679912391100402,闭环仿真数据，非实测
1.72000000,1,0.77179275998763641,1.2323418935362258,0.45641448002472718,0.77592741351149852,闭环仿真数据，非实测
1.74000000,1,0.78091224383932278,1.22286643607928,0.43817551232135443,0.7846909237579256,闭环仿真数据，非实测
1.76000000,1,0.78966352318331523,1.2137773364639626,0.42067295363336954,0.79310438283059304,闭环仿真数据，非实测
1.78000000,1,0.79806153935520319,1.2050588425459785,0.40387692128959363,0.80118192125638488,闭环仿真数据，非实测
1.80000000,1,0.80612062591895328,1.1966958443817202,0.38775874816209344,0.80893709621962673,闭环仿真数据，非实测
1.82000000,1,0.81385453341801994,1.1886738480468662,0.37229093316396011,0.81638291488290593,闭环仿真数据，非实测
1.84000000,1,0.82127645311792385,1.1809789505223414,0.35744709376415229,0.82353185675818896,闭环仿真数据，非实测
1.86000000,1,0.82839903978140483,1.1735978156041231,0.34320192043719033,0.8303958951669328,闭环仿真数据，非实测
1.88000000,1,0.83523443351557869,1.1665176507951522,0.32953113296884262,0.83698651782630962,闭环仿真数据，非实测
1.90000000,1,0.84179428072892071,1.1597261851393115,0.31641143854215859,0.84331474659715278,闭环仿真数据，非实测
1.92000000,1,0.84808975423435629,1.1532116479590659,0.30382049153128743,0.84939115642777852,闭环仿真数据，非实测
1.94000000,1,0.85413157253326077,1.1469627484599265,0.29173685493347845,0.85522589352644807,闭环仿真数据，非实测
1.96000000,1,0.85993001831375171,1.1409686561663945,0.28013996337249658,0.86082869279389795,闭环仿真数据，非实测
1.98000000,1,0.86549495619529637,1.1352189821554934,0.26901008760940726,0.86620889454608607,闭环仿真数据，非实测
2.00000000,1,0.87083584975035144,1.1297037610553691,0.25832830049929711,0.87137546055607207,闭环仿真数据，非实测
2.02000000,1,0.87596177783250007,1.124413433777772,0.24807644433499987,0.87633698944277205,闭环仿真数据，非实测
2.04000000,1,0.88088145023935005,1.119338830954498,0.2382370995212999,0.88110173143319803,闭环仿真数据，非实测
2.06000000,1,0.88560322273730607,1.1144711570490937,0.22879355452538785,0.88567760252370575,闭环仿真数据，非实测
2.08000000,1,0.89013511147422186,1.1098019751162931,0.21972977705155627,0.89007219806473692,闭环仿真数据，非实测
2.10000000,1,0.89448480680487896,1.1053231921827837,0.21103038639024208,0.89429280579254178,闭环仿真数据，非实测
2.12000000,1,0.89865968655322304,1.1010270452239668,0.20268062689355393,0.89834641833041284,闭环仿真数据，非实测
